evidence,date,event,names,rounds,results
STRONG,2017-12-16,Lafayette 5 Star Classic,Thomas Hoppes vs Joseph Morgan,quarterfinals | 3rd place match,Dec 8-5 | Dec 3-0
STRONG,2018-01-27,East Jessamine Individual,Dylan Harkins vs Jarett Sanders,semifinals | champ. round 3,UTB 3-2 | UTB 5-4
STRONG,2018-01-27,East Jessamine Individual,Makayla Gilbert vs Brennan Caron,champ. round 1 | None,Fall 0:45 | Fall 0:33
STRONG,2018-02-09,KHSAA Region 8,Gage Hignite vs matthew spradlin,quarterfinals | 3rd place match,Dec 4-0 | Dec 6-4
STRONG,2018-02-09,KHSAA Region 8,Dillon Adkins vs Joseph Newell,quarterfinals | 5th place match,Fall 0:00 | Fall 0:00
STRONG,2017-12-30,Valley Main Event,Stephen Everly vs Gabriel VanAmburgh,None | cons. round 1,Fall 3:00 | Fall 2:59
STRONG,2017-12-30,Valley Main Event,Zeke Hatfield vs Logan Ziegler,None | quarterfinals,Fall 1:57 | Fall 2:00
STRONG,2018-02-09,KHSAA Region 2,James Render vs Dylan Halsel,quarterfinals | 3rd place match,Fall 1:34 | Fall 0:48
STRONG,2018-02-09,KHSAA Region 2,Colby Wright vs Alex Chesser,quarterfinals | 5th place match,Fall 1:04 | Fall 0:40
STRONG,2018-02-09,KHSAA Region 8,Randall West vs Devin Johnson,quarterfinals | 3rd place match,Dec 2-1 | Dec 4-1
WEAK,2018-02-03,Mustang Classic - North Oldham,Zach Farrell vs Ethan Huffman,cons. round 3 | cons. round 2,TF 19-3 3:00 | TF 18-3 0:00
STRONG,2017-12-02,vs. Boyle County,Colton Lampe vs Gabriel Floro,None | None | None,Fall 0:20 | Fall 0:25 | Fall 2:55
STRONG,2017-12-02,vs. Boyle County,Herve Blode vs Jordan Bates,None | None,Fall 2:26 | Fall 1:44
STRONG,2017-12-02,vs. Fern Creek,Isaiah Isaac vs Trevon Warren,None | None,Fall 3:50 | Fall 2:21
STRONG,2017-12-02,vs. Fern Creek,Jacob Robbins vs Abdul Adahomov,None | None,Fall 3:28 | Fall 2:39
STRONG,2017-12-02,vs. Boyle County,Alex Martin vs Ben Hatfield,None | None,Dec 9-6 | Dec 9-5
STRONG,2017-12-02,vs. Boyle County,Jose Ventura vs Cobey Blackwell,None | None,Fall 4:12 | Fall 2:27
STRONG,2018-02-09,KHSAA Region 7,Pierce Haines vs Giovanni Watson,quarterfinals | 5th place match,Fall 0:00 | Fall 0:00
STRONG,2017-12-09,DERBY CITY CLASSIC,Matthew Hendricks vs Landon Baker,None | cons. round 1,Fall 1:51 | Fall 1:48
STRONG,2018-01-27,vs. Oldham County,Sean Lohden vs Isaiah Hale,None | None,MD 18-4 | MD 14-4
WEAK,2017-12-02,TSB-DCA invitational,James Jones vs 11747223009,None | champ. round 1,TF 21-5 0:00 | TF 20-5 0:00
STRONG,2017-12-02,Rumble on the Hilltop,Ashley Courtney vs Nate Schneider,champ. round 1 | cons. semis,Fall 1:00 | Fall 4:30
STRONG,2017-12-02,Franklin Invitational,12024712009 vs Thomas Ketchen-Carter,1st place match | None,Dec 3-2 | Dec 6-3
STRONG,2017-12-09,DERBY CITY CLASSIC,Dcorion Thompson vs Yahir Menchaca,None | None,Fall 4:40 | Fall 4:00
STRONG,2017-12-30,Valley Main Event,Montrail Porter vs Deaven McCombs,quarterfinals | 3rd place match,Fall 0:34 | Fall 0:41
STRONG,2018-01-20,Michael Herchenrader Jr. Memorial,Brysen Little vs Jeremy Lyle,quarterfinals | 3rd place match,Fall 2:48 | Fall 0:20
STRONG,2018-02-03,Kentucky JV State Tournament @ Union County,Nathen Wright vs Thomas Cheatham,cons. round 3 | None,Fall 0:53 | Fall 1:10
STRONG,2018-01-20,Michael Herchenrader Jr. Memorial,Zach Chandler vs Ben Bush,champ. round 1 | 3rd place match,Dec 6-2 | Dec 2-1
STRONG,2018-02-09,KHSAA Region 4,Anthony Kennedy vs Eric Watson,quarterfinals | 5th place match,Fall 0:35 | Fall 0:00
STRONG,2017-12-30,Valley Main Event,Raice Hunter vs Brandon Key,None | champ. round 1,Fall 1:36 | Fall 1:42
STRONG,2017-12-30,Valley Main Event,Grover Russell vs Elijah Hatfield,None | round 2,Fall 0:45 | Fall 0:44
