id,name,team,canon,acc,list
4600071,AJ Bindner,Fern Creek,57-6,58-6,57-6
53529071,Aaron Brussart,Ryle,32-26,31-26,31-25
5616784009,Aaron Chandler,Central Hardin,41-13,39-13,41-13
55777076,Aaron Flenner,Madison Central,34-13,32-12,33-13
49366013,Aaron King,Johnson Central,45-5,45-5,42-5
15537107,Aaron Partee,Waggener ,10-5,0-0,7-5
5614639009,Aaron Valentine,Franklin County,32-13,26-11,30-13
5830724009,Aaron Veach,Owensboro,11-10,11-10,11-9
5697814009,Aaron Willoughby,Montgomery County,21-15,21-14,21-15
5539868009,Abbias Safarov,Seneca,4-12,4-11,4-12
5896310009,Abdulmajeed Abdulkareem,Tates Creek,0-9,0-11,0-8
48091013,Adam Bender,Lexington Catholic,38-6,38-5,38-6
63559076,Adam Craven,Tates Creek,12-14,12-15,12-14
5861324009,Adam Miller,Eastern,22-13,16-12,21-13
48689076,Adam Vann,Walton Verona,4-14,4-14,4-13
5544201009,Adam Worful,Desales,13-38,12-38,13-37
24010010,Adam Yashinto,Doss,27-17,27-19,27-16
5539873009,Adil Mamedov,Seneca,12-6,12-5,12-6
50185011,Adriel Robinson,Fairdale,10-12,11-12,10-12
12512071,Ahmad Hameidan,Boone County,49-11,47-10,48-10
3549076,Albert Guzman,Newport,13-30,13-29,13-29
5891555009,Albin William,Valley,18-29,19-31,19-27
63595076,Alec Craven,Tates Creek,7-14,8-14,7-14
63702071,Alex Beckes,Covington Catholic,15-21,15-20,15-21
5542414009,Alex Carson,Desales,19-36,20-36,19-34
40009076,Alex Chavez,Lafayette,12-17,13-19,12-17
20676011,Alex Contreras,Lafayette,7-17,7-15,7-17
5830705009,Alex Evans,Owensboro,2-21,2-19,2-21
5367255009,Alex Herald,Newport,10-32,9-31,10-30
89140076,Alex Hideg,McCracken County,27-17,26-17,26-17
5697867009,Alex Holt,Montgomery County,39-6,37-6,39-6
29245011,Alex Hopkins,Moore,9-15,8-15,9-15
10337011,Alex Jackson,Spencer County,6-23,5-25,6-22
35265013,Alex Kaufman,Campbell County,7-0,7-1,7-1
32187010,Alex Lee,Meade County,36-6,37-6,36-6
73794076,Alex Olvera-Vancini,Holmes,35-11,35-10,35-11
5909527009,Alex Reyes,Bryan Station,6-13,6-10,6-13
48713071,Alex Shah,Dupont Manual,18-20,18-20,18-19
4075011,Alex Thompson,South Oldham,25-21,25-22,25-19
24497071,Alex Wright,Bourbon County,41-7,35-6,39-6
27396011,Alexandria Underwood,Bullitt East,2-8,2-9,2-8
7621071,Alfonso Santos,Jeffersontown,9-10,9-9,9-10
29300011,Allen Anderson,Moore,3-3,2-3,3-2
29338011,Allen Powers,Moore,16-8,16-8,15-8
22533013,Amen Alshemary,Doss,32-13,33-13,31-13
34245011,Amilliante Smallwood,John Hardin,6-12,6-12,6-11
3566076,Andre Anderson,Newport,27-12,27-13,26-12
22399013,Andre Watkins Jr.,Doss,17-16,18-16,17-16
22535013,Andre Williams,Doss,33-12,33-14,33-11
5909503009,Andres Batres,Bryan Station,5-2,5-2,4-2
70765076,Andres Calleja,Paul Dunbar,24-15,23-14,24-15
80047094,Andrew Adams,Mccreary Central,5-6,6-5,5-6
51860071,Andrew Bailey,Cooper,39-3,40-3,39-3
5615123009,Andrew Lykens,Anderson County,11-13,12-13,11-12
53580071,Andrew Mikkelson,Ryle,25-20,25-19,25-19
27354011,Andrew Overstreet,Bullitt East,8-7,8-7,8-6
4472011,Andrew Pritchett,Trinity (Louisville),23-26,24-26,23-26
48711071,Andrew Salings,Dupont Manual,41-13,40-13,39-12
5606844009,Andrew Varble,Woodford County,32-23,30-24,30-20
5829547009,Andrew Vazquez,Oldham County,0-2,0-3,0-2
5544092009,Andrew Vowels,Desales,10-11,11-10,10-11
20646011,Angel Vasquez,Lafayette,42-2,40-2,42-2
53543071,Angelo Orsello,Ryle,6-6,5-6,6-6
53183076,Angus Bruce,Trigg County,3-9,3-5,3-9
31707076,Ansar Kurbanov,Iroquois,27-13,26-13,26-12
5947060009,Anthony Brown,Caldwell County,5-23,5-24,5-23
3675010,Anthony Farias,Trinity (Louisville),2-11,2-12,2-11
10335011,Anthony Gatrost,Spencer County,11-24,11-25,11-23
41363011,Anthony Hunt,Paducah Tilghman,0-1,0-2,0-1
5542431009,Anthony Kennedy,Desales,9-31,9-31,9-30
26262010,Antonio Abren,Christian County,16-10,16-9,16-9
5827700009,Antonio Scott,Scott,16-26,18-26,16-26
71666076,Ashley Looney,Letcher County Central,3-3,3-2,3-3
9328094,Aubrey Burke,Valley,4-2,5-2,4-2
20491076,Austin Alemi,North Oldham,25-18,26-19,25-17
105613076,Austin Byrge,Southern,0-6,0-5,0-6
5606855009,Austin Call,Woodford County,8-22,7-23,7-22
5695837009,Austin Dotson,Belfry,4-4,3-4,4-4
6065321009,Austin Hall,Central Hardin,6-15,6-14,6-15
5369898009,Austin Mayer,St. Xavier,1-3,1-1,1-3
35245013,Austin Myers,Campbell County,59-0,56-0,54-0
40838071,Austin Nance,Thomas Nelson,10-7,10-6,10-7
33281011,Austin Nixon,Dixie Heights,24-21,22-21,24-21
2918107,Austin Phillips,Anderson County,31-8,31-7,30-8
5606843009,Austin Raisor,Woodford County,8-17,8-17,8-16
87775071,Austin Salyers,Pikeville,13-9,13-9,12-9
50136011,Austin Weird,Fairdale,13-6,13-8,13-6
11683076,Austin Zeppes,Calloway County,31-16,31-16,30-15
8495076,Avery Buckman,Union County,39-15,45-16,39-12
5614632009,Bailey Bixler,Franklin County,20-13,21-13,20-13
10332011,Bailey Hahn,Spencer County,14-19,15-19,14-18
63799076,Barkley Truax,Tates Creek,10-11,11-10,10-10
53574071,Ben Huth,Ryle,8-8,7-6,8-6
4084011,Ben Lundy,South Oldham,19-23,18-24,19-23
5947039009,Ben McGregor,Caldwell County,10-12,12-14,10-12
16649076,Benjamin Fooks,Bourbon County,24-16,22-15,25-16
48704071,Benjamin Green,Dupont Manual,39-13,39-14,39-13
53542071,Benjamin Lippert,Ryle,35-15,34-15,33-15
113110010,Bilal Mamedov,Iroquois,34-2,33-2,33-2
8521076,Billy Pride,Union County,3-2,3-2,3-1
5827720009,Blake Bell,Scott,11-25,11-26,11-25
