id,name,team,canon,acc,list
24664991132,AJ Falk,Scott County,15-23,16-23,15-23
25613007132,ASYONNAH EZZARD,Bryan Station,1-8,1-11,1-7
25462429132,Aaron Aldrich,Floyd Central,8-15,8-15,8-14
25284141132,Aaron Brazzell,Scott,8-19,8-16,8-19
25620666132,Aaron Brock,Fort Knox,2-6,2-7,2-6
25555975132,Aaron Horn,Martin County,3-8,0-0,0-6
25284025132,Abram Miller,Scott,9-6,7-6,9-6
24864810132,Abram Ross,Ohio County,32-15,31-15,32-14
24905155132,Abreyan Fletcher,Union County,34-9,35-9,34-9
25112232132,Adaiah `Riley` Gilbert,Simon Kenton,17-22,17-23,17-22
24719646132,Aden Ritchie,Taylor County,21-12,21-11,21-12
27053782132,Adrian Poole,Knox Central,1-12,0-3,0-12
25258577132,Aidan Caudill,Eastern,5-12,5-13,5-12
25328550132,Aidan Conley,Boyd County,4-24,4-25,4-24
26352264132,Aidan Farley,Bryan Station,3-19,3-21,3-19
25237299132,Aidan Green,Dupont Manual,15-8,15-8,14-8
24657573132,Aidan Ruiz,Tates Creek,32-8,30-7,32-8
24967268132,Aidan Warren,Bell County,4-2,4-1,4-2
24927890132,Aiden Anderson,Great Crossing,0-2,0-0,0-1
24653896132,Aiden Ash,Daviess County,12-10,13-10,12-10
25283923132,Aiden Bowling,Scott,5-13,3-11,5-13
24927555132,Aiden Butler,Great Crossing,43-3,17-2,26-2
24990198132,Aiden Cook,East Jessamine,27-2,28-2,27-2
24905142132,Aiden Fowler,Union County,12-5,11-5,12-5
25555705132,Aiden Hall,Green County,16-8,15-8,16-8
24664209132,Aiden Hilton,Paducah Tilghman,7-5,7-5,7-4
24906737132,Aiden Masteller,Conner,9-16,9-18,9-16
24927955132,Aiden Miller,Great Crossing,3-15,2-2,3-12
24653894132,Aiden Ranburger,Daviess County,41-9,42-9,40-9
24783435132,Aiden Rogers,Highlands,10-22,4-15,8-19
24832294132,Aiden Svec,Walton-Verona,16-12,5-4,9-8
25135572132,Aiden Wilson,Corbin,23-11,23-12,23-11
24719579132,Aiden Zuniga,Taylor County,16-5,15-5,16-5
25451234132,Alden Marshall,Hopkinsville,8-12,8-11,7-12
24822195132,Alex Diaz,Desales,10-2,10-2,9-2
24914976132,Alex Kessinger,St. Xavier,1-1,1-0,1-1
24972247132,Alex Sauss,Bullitt East,34-7,35-7,34-7
24661809132,Alex Whitt,Western Hills,31-9,32-9,30-9
25400212132,Alex maynard,Paintsville,12-4,12-5,12-4
25842781132,Alexander Eaton,Bell County,16-9,16-9,14-9
25237291132,Alexander Giardina,Dupont Manual,8-11,8-11,7-11
25259054132,Alexander Goatley,Eastern,8-8,8-9,8-8
24694054132,Alexander Sapp,Apollo,21-16,5-4,10-14
25269460132,Alexzander Caudill,Letcher County Central,1-11,1-9,1-11
24806942132,Alli Murphy,West Carter,18-10,9-4,10-10
25415618132,Allie Messer,Lynn Camp,2-2,0-0,0-2
26904172132,Alton Napier,Hazard,8-2,6-0,7-1
24927572132,Aluma Enwa,Great Crossing,34-14,13-7,21-9
24664208132,Amari Williams,Paducah Tilghman,27-14,27-14,26-13
26257981132,Amir Ali,Shawnee,3-5,2-4,3-5
24881942132,Andre Carter,Caldwell County,41-9,41-10,41-9
24871748132,Andrew Brauer,Owensboro Catholic,31-11,14-10,19-11
24719581132,Andrew Clayton,Taylor County,16-17,15-16,16-17
24670244132,Andrew Leibfarth,Boone County,24-10,23-10,24-10
25267884132,Andrew Meade,Letcher County Central,2-10,1-10,2-10
24659809132,Andrew Pomeroy,Male,31-11,31-11,31-10
24659807132,Andrew Recio,Male,15-20,15-19,15-20
25082612132,Andy Cintron,Fort Campbell,25-15,25-15,24-15
25152669132,Angel Montes,Dixie Heights,28-19,28-20,28-19
24657574132,Animesh Bhujel,Tates Creek,15-14,14-12,14-14
24657575132,Anish Biswa,Tates Creek,12-24,11-19,12-24
24655592132,Anjuan Horne,Western,19-3,19-3,19-2
26583682132,Anna Reyes,Frederick Douglass,2-4,2-3,2-4
24914177132,Anthony Gallego,St. Xavier,7-17,5-15,7-16
25132003132,Antonio Massi,McCracken County,2-9,2-8,2-9
25158084132,Antonio Rodriguez,Bardstown,10-7,10-6,9-7
26574777132,Apelu Hazelwood,Central Hardin,14-4,15-4,14-4
25079458132,Armond Bell,East Jessamine,5-2,5-3,5-2
24891828132,Ash Patton,Seneca,2-5,2-6,2-5
24719462132,Asher Novit,Boone County,11-22,10-22,11-22
24928196132,Ashton Hackney,Great Crossing,3-2,0-0,3-2
25415628132,Aubrey Helton,Lynn Camp,3-0,0-0,0-0
24666791132,Austin Brinegar,Harrison County,24-11,24-11,23-11
