evidence,date,event,names,rounds,results
STRONG,2015-01-10,Defender of the Mat,Andrew Lykens vs Darrell Richardson,champ. round 1 | cons. semis,Fall 0:00 | Fall 0:00
STRONG,2015-01-03,Tates creek invitational,Alex Wright vs Austin Phillips,None | 1st place match,Dec 0-0 | Dec 8-4
STRONG,2015-01-10,Defender of the Mat,Charlie Roarx vs Isaac Mason,quarterfinals | 3rd place match,Fall 0:00 | Fall 0:00
STRONG,2014-12-30,Toyota of Hopkinsville Christian County Invitational,Dakota Himes vs Tyler Ward,semifinals | None,Fall 1:06 | Fall 1:10
STRONG,2014-11-29,Fall Brawl,Carly O`Neill vs Brandon Powers,round 2 | round 1,Fall 0:31 | Fall 0:31
STRONG,2014-11-29,Fall Brawl,Andrew Overstreet vs Moses Williams,None | champ. round 3,Fall 1:20 | Fall 1:21
STRONG,2014-11-29,Fall Brawl,Chase Askins vs Oscar Martinez,None | None,Fall 1:40 | Fall 0:19
STRONG,2015-01-10,North Hardin Trojan Invitational,Sean Mullikin vs Randy Norris,None | None,Fall 5:44 | Fall 5:46
STRONG,2015-01-24,Capital City Classic,Elisiah Matthews vs Randy Norris,None | None,Fall 1:35 | Fall 3:20
STRONG,2015-01-31,Wolverine invitational,Cameron Bixler vs Blake Day,quarterfinals | 3rd place match,Fall 0:00 | Fall 0:00
STRONG,2014-12-13,vs. Ashland Blazer,Austin Salyers vs Todd Whittington,None | None,Fall 0:56 | Fall 0:37
STRONG,2015-01-03,Gladiator Tournament,Kainen Grimm vs Lukas Brown,cons. round 1 | cons. 1st,Fall 2:28 | Fall 2:28
STRONG,2015-02-14,KHSAA Region 8,Cameron Catron vs Colin Coy,None | None,Fall 1:44 | Fall 3:53
STRONG,2015-02-14,KHSAA Region 6,Cody Browning vs Tanner Yenter,champ. round 2 | quarterfinals,Fall 1:34 | Fall 1:31
STRONG,2015-02-14,KHSAA Regional Tournament,Zack Holub vs Cody Browning,cons. round 2 | cons. round 3,Fall 0:29 | Fall 0:28
STRONG,2015-02-14,KHSAA Region 6,Chris Vaske vs Dakota Lillie,3rd place match | 3rd place match,Fall 2:34 | Fall 2:33
STRONG,2015-02-07,2015 North Oldham Mustang Classic,Ahmad Hameidan vs Andre Williams,semifinals | semifinals,Fall 4:20 | Fall 5:20
WEAK,2015-02-14,KHSAA Region 6,Ahmad Hameidan vs Austin Myers,1st place match | 1st place match,TF 21-6 5:51 | TF 22-6 0:00
STRONG,2014-12-06,Rumble on the Hilltop,Sheridan Willoughby vs Layne Siebert,None | round 2,Fall 3:17 | Fall 2:43
STRONG,2015-01-10,Defender of the Mat,Sheridan Willoughby vs Jordan Trejo,None | 5th place match,Dec 9-6 | Dec 9-4
STRONG,2015-01-10,Defender of the Mat,Sheridan Willoughby vs Andres Batres,None | cons. semis,Dec 5-2 | Dec 5-1
STRONG,2015-02-14,KHSAA Region 8,Sheridan Willoughby vs Brent Hudgins,semifinals | None,Dec 15-10 | Dec 13-10
STRONG,2015-02-14,KHSAA Region 8,Chase Highlander vs Tanner Stacy,None | quarterfinals,Dec 15-11 | Dec 12-5
STRONG,2014-12-06,Rumble on the Hilltop,Cade Wagoner vs Dylan Lewis,None | cons. round 1,Fall 5:20 | Fall 4:40
STRONG,2015-01-24,Capital City Classic,Cade Wagoner vs Colby Adams,None | None,Fall 2:30 | Fall 2:23
STRONG,2014-12-06,Rumble on the Hilltop,Braden Wyatt vs Noah Bell,None | quarterfinals,Fall 2:42 | Fall 2:52
STRONG,2014-12-30,Woodford County Invitational,Braden Wyatt vs Jaython Elliott,None | cons. round 4,MD 15-7 | MD 17-7
STRONG,2014-12-06,Rumble on the Hilltop,Alex Wright vs Malik Powell,None | champ. round 1,Fall 3:07 | Fall 2:53
STRONG,2014-12-20,Lafayette 5 Star,Alex Wright vs Israel Angeles,None | None,Fall 3:49 | Fall 2:49
STRONG,2014-12-06,Rumble on the Hilltop,Jorge Mendez vs Christian Sinckler,None | semifinals,Fall 0:12 | Fall 1:48
STRONG,2015-02-14,KHSAA Region 7,Curtis Mathews vs Corbin Couch,quarterfinals | 5th place match,Fall 0:00 | Fall 0:00
STRONG,2015-01-31,Wolverine invitational,Ansar Kurbanov vs Derrick Soper,quarterfinals | 3rd place match,Dec 6-0 | Dec 7-5
STRONG,2015-01-03,Gladiator Tournament,Logan Henry vs Conner Goldsmith,cons. round 3 | cons. round 3,Fall 3:52 | Fall 3:57
STRONG,2014-11-29,Fall Brawl,Carly O`Neill vs James Arbaca,champ. round 1 | round 1,Fall 2:30 | Fall 1:41
STRONG,2015-02-14,KHSAA Region 3,Dalton Priddy vs Jordan Matherly,quarterfinals | 3rd place match,Fall 0:36 | Fall 0:28
STRONG,2014-11-29,Fall Brawl,Matthew Brown vs Jacob Weaver,None | champ. round 2,Fall 1:00 | Fall 4:25
STRONG,2014-11-29,Fall Brawl,Jason Frantz vs Zach Shah,None | None,Fall 1:41 | Fall 3:03
STRONG,2014-11-29,Fall Brawl,Jason Frantz vs Jacob Weaver,None | champ. round 3,Fall 5:52 | Fall 3:39
STRONG,2014-11-29,Fall Brawl,Chase Askins vs Chase Black,None | champ. round 1,Fall 2:59 | Fall 3:45
STRONG,2015-03-10,KHSAA State Wrestling Championships,Spencer Warren vs Rodney Rednour,champ. round 1 | champ. round 1,Dec 3-1 | Dec 3-2
STRONG,2014-11-29,Fall Brawl,Damoreon Travis vs Stephen Garcia,None | None,Fall 4:35 | Fall 3:41
