evidence,date,event,names,rounds,results
STRONG,2020-01-04,vs. Corydon Central,-1 vs Caden Hoffman,None | None,Fall 5:03 | Fall 4:41
STRONG,2020-01-04,vs. Corydon Central,-1 vs Wade Mettling,None | None,Fall 2:02 | Fall 1:10
STRONG,2020-01-04,vs. Corydon Central,-1 vs Reagan Ray,None | None,Fall 0:27 | Fall 0:19
STRONG,2020-02-01,North Oldham Mustang,Trenton Hatcher vs Jordan Neal,semifinals | champ. round 2,Fall 0:43 | Fall 0:43
STRONG,2019-12-21,Tiger Classic,10990935132 vs Malachi Rider,round 2 | round 2,TF 19-3 2:17 | TF 19-3 2:20
STRONG,2020-01-10,vs. Mccreary Central,Jeremiah Baird vs Mary McReynolds,None | None,Fall 1:29 | Fall 1:28
STRONG,2020-01-10,vs. Mccreary Central,Ruben Martinez vs Elizabeth Browning,None | None,Fall 0:14 | Fall 0:13
STRONG,2020-01-10,vs. Mccreary Central,Chase Bowlin vs Cody Campbell,None | None,Fall 1:47 | Fall 1:46
STRONG,2020-01-10,vs. Mccreary Central,Luke Anderson vs Krist Fields,None | None,Fall 1:08 | Fall 1:07
STRONG,2020-01-10,vs. Mccreary Central,Blake Botts vs Aaron Thomas,None | None,Fall 0:11 | Fall 0:10
STRONG,2019-12-07,Jessamine County Clash,Dominic Savage vs Carter Akers,champ. round 1 | cons. round 3,Fall 0:00 | Fall 0:00
STRONG,2020-01-18,vs. Ryle,Blake Clements vs Olivia Messerly,None | None,Fall 0:44 | Fall 0:30
STRONG,2020-01-04,Bellbrook Invitational,-1 vs Joseph Sander,None | None,Fall 0:07 | Fall 2:58
STRONG,2020-01-04,Bellbrook Invitational,-1 vs Cole Thomas,None | None,Fall 0:26 | Fall 0:25
STRONG,2020-01-11,Tates Creek Invitational,Ayham Yousef vs Jameson Smith,None | cons. round 3,Fall 0:16 | Fall 0:00
STRONG,2020-01-04,Bellbrook Invitational,11066113132 vs Colin Ross,None | None,Fall 2:22 | Fall 3:23
STRONG,2020-01-18,vs. Ryle,Trayton Stargill vs Rusty Craddock,None | None,Fall 1:06 | Fall 0:31
STRONG,2020-02-08,KHSAA Region 6,Tisen Moore vs Rusty Craddock,quarterfinals | 3rd place match,Dec 8-6 | Dec 8-5
STRONG,2020-01-04,Bellbrook Invitational,-1 vs Austin Peace,None | None,Fall 2:44 | Fall 1:30
STRONG,2020-01-18,vs. Ryle,Jack Leish vs Carter Messerly,None | None,Fall 0:16 | Fall 0:10
STRONG,2020-01-18,vs. Taylor County,Trey Fleek vs DJ Riggins,None | None,Fall 0:30 | Fall 1:13
STRONG,2020-01-18,vs. Taylor County,Noah Duke vs Daniel Vasquez,None | None,Fall 0:58 | Fall 1:29
STRONG,2020-01-04,Bellbrook Invitational,11129925132 vs Jackson Rogers,None | None,Dec 3-0 | Dec 4-2
STRONG,2020-01-18,vs. Taylor County,Jackson Rogers vs Clay Corbin,None | None,Fall 0:27 | Fall 1:01
STRONG,2020-01-11,Tates Creek Invitational,Brecken Hart vs Mahamadou Sissoko,None | None,Fall 1:11 | Fall 0:01
STRONG,2020-01-18,vs. Ryle,Samuel Hatcher vs Gabe Savage,None | None,Fall 0:52 | Fall 0:43
STRONG,2020-01-18,vs. Taylor County,Tayshaun Marshall vs Scott Hall,None | None,Fall 1:07 | Fall 1:14
STRONG,2019-12-22,SWOWCA Coaches Classic,11124780132 vs Seth Lutes,None | None,Dec 6-2 | Dec 6-4
STRONG,2020-02-01,North Oldham Mustang,Luke Oliveros vs Hunter Creech,champ. round 2 | 3rd place match,Fall 0:00 | Fall 0:00
STRONG,2020-01-04,Anderson County Bearcat Invitational,Braydon Kessinger vs Nick Hamilton,champ. round 1 | champ. round 16,Fall 0:53 | Fall 0:53
STRONG,2020-01-04,CIWT,Ryan Sandifer vs 12132521132,round 3 | None,Fall 1:44 | Fall 1:35
STRONG,2020-01-04,CIWT,Carson Motta vs 10895938132,None | quarterfinals,Fall 2:29 | Fall 2:30
STRONG,2020-01-04,CIWT,Jesus Michelangeli vs 10895945132,None | round 2,Fall 5:07 | Fall 5:38
STRONG,2020-01-04,CIWT,Alex Hall vs 10895946132,None | round 3,Fall 3:07 | Fall 3:04
STRONG,2020-01-04,CIWT,10896038132 vs Dalen Graves,None | round 3,Fall 1:52 | Fall 1:42
STRONG,2020-01-04,CIWT,Azarian Lively vs 11041500132,None | round 4,Fall 3:52 | Fall 3:53
STRONG,2020-02-08,KHSAA Region 5,Cole Murphy vs Kelton Bailey,quarterfinals | 5th place match,Fall 1:15 | Fall 3:58
STRONG,2020-01-04,Anderson County Bearcat Invitational,Nathen Westcott vs 11745458132,champ. round 1 | round 1,Fall 0:27 | Fall 0:26
STRONG,2019-12-21,vs. Valley,Dawson Walker vs Mason Davis,None | None,MD 16-2 | MD 14-2
STRONG,2019-12-07,Jessamine County Clash,Marc Mpiana vs Michael Lewis-Simms,quarterfinals | 5th place match,Fall 0:00 | Fall 0:00
STRONG,2019-12-14,2019 Liberty Classic,Landon Lenhart vs 11134495132,None | None,Dec 3-0 | Dec 4-3
STRONG,2020-02-01,North Oldham Mustang,Omega Kim vs Rivers Rankin,quarterfinals | 5th place match,Fall 1:02 | Fall 2:29
STRONG,2020-01-18,Hammer & Anvil Inv. Western Brown OH,-1 vs Mason Schweitzer,None | None,Dec 8-3 | Dec 10-6
STRONG,2020-01-18,Hammer & Anvil Inv. Western Brown OH,-1 vs Hunter Isaacs,None | None,Dec 8-6 | Dec 4-2
STRONG,2019-12-28,Woodford County Invitational,Andrew Kartner vs 11009742132,champ. round 1 | cons. semis,Fall 5:02 | Fall 3:40
