id,name,team,canon,acc,list
537490013,AARON JOHNSON,Madison Central,20-21,20-21,19-21
927945076,Aaron Brossart,Ryle,38-18,39-18,38-18
26676123,Aaron Teipe,Walton Verona,32-17,31-17,32-17
851261076,Aaron Willoughby,Montgomery County,18-13,16-11,17-13
576222013,Abbas Safarov,Seneca,2-2,2-3,2-2
563968010,Achilles Lemon,Newport,18-16,18-16,18-15
847128107,Adam Bender,Woodford County,38-2,36-2,37-2
621985013,Adam Cash,Trinity (Louisville),8-9,7-10,8-9
851310076,Adam McCune,Montgomery County,9-9,7-8,9-9
9735132009,Adam Nauert,Desales,24-21,22-21,24-21
846750076,Adam Ogaz,Apollo,29-3,28-3,28-3
816940071,Adonis Nelson,Bryan Station,3-4,2-3,2-5
895000076,Adrian Baisden,Sheldon Clark,6-9,6-10,6-9
1213771076,Adrian Grillo,Southern,1-3,1-1,1-3
753165094,Agali Radjapov,Moore,16-29,15-28,15-29
753180094,Aijae Dixon,Moore,2-5,2-4,2-4
560453013,Alex Chavez,Lafayette,15-14,15-16,15-13
730057094,Alex Chesser,Bardstown,19-15,19-13,19-14
845649107,Alex Evans,Owensboro,17-22,18-22,17-21
813845071,Alex Gates,Desales,7-8,8-8,7-8
563957010,Alex Herald,Newport,28-25,28-26,28-25
773316094,Alex Horn,Johnson Central,29-8,30-8,29-8
538125010,Alex Jackson,Spencer County,17-14,18-14,17-14
753152094,Alex Rivera,Moore,50-12,47-12,49-12
538825010,Alex Roberts,Oldham County,29-14,26-14,29-14
9730719009,Alex Schlei,McCracken County,2-1,2-0,2-1
46243123,Alex Spaulding,Paul Dunbar,17-13,18-13,17-13
9732351009,Alex Thompson,South Oldham,22-17,22-13,21-15
853205076,Alex Underwood,Bullitt East,13-22,13-20,13-22
528807011,Ali Zarie,North Oldham,20-21,21-23,20-21
46178123,Allan Friend,Paul Dunbar,12-23,12-22,12-23
753081094,Allen Anderson,Moore,26-21,25-20,23-19
9732357009,Andrew Archibald,South Oldham,10-18,10-17,10-18
730055094,Andrew Chambers,Bardstown,31-17,31-17,30-17
565801011,Andrew Marchal,Atherton,31-3,30-3,30-3
864640076,Andrew Maupin,Franklin County,21-14,21-13,21-14
876596076,Andrew Reynolds,Western Hills,12-26,11-26,12-26
851325076,Andrew Rutledge,Montgomery County,25-14,26-12,25-14
527475013,Andrew Shelton,Pleasure Ridge Park,29-16,31-16,29-16
9739193009,Andrew Strack,Trinity (Louisville),1-5,1-4,1-5
847151107,Andrew Varble,Woodford County,36-11,35-11,34-10
538820010,Andrew Vazquez,Oldham County,24-12,23-9,23-12
894963076,Andrew Vogeler,Sheldon Clark,22-19,22-17,22-19
826938071,Angel Martinez,Tates Creek,13-13,13-12,13-13
949587076,Anthony Gibbs,Waggener ,2-3,0-0,1-2
45643123,Anthony Kopp,Dixie Heights,12-14,11-14,11-14
9732356009,Anthony Pierce,South Oldham,32-16,31-16,32-16
628840013,Anthony Simpson,Mccreary Central,6-5,6-4,6-5
961816076,Antonio Jackson,Seneca,0-1,0-2,0-1
580817013,Arlen Herendon,Southern,11-10,11-9,11-10
546204013,Asher Jones,McCracken County,7-7,6-5,7-5
951223076,Aubrey Burke,Holy Cross (Louisville),6-16,6-17,5-16
9871123009,August Althoff,Covington Catholic,2-20,2-22,2-20
894998076,Austin Borders,Sheldon Clark,19-13,19-13,19-12
580849013,Austin Byrge,Southern,4-8,4-9,4-8
42687123,Austin Cook,St. Xavier,34-6,34-6,33-6
731146094,Austin Gibson,Christian County,18-15,17-14,18-15
731140094,Austin Grant-Hall,Christian County,16-2,15-2,16-2
9739216009,Austin Hedges,Trinity (Louisville),9-22,8-18,8-22
860329107,Austin Husband,Nelson County,9-6,10-6,9-6
878051076,Austin Jarow,North Hardin,32-13,33-13,31-13
855970076,Austin Loechel,Boone County,3-6,3-5,3-6
558502010,Austin Miller,Bullitt East,29-17,29-15,28-17
45638123,Austin Nixon,Dixie Heights,46-11,43-10,45-11
986732076,Austin Penman,Bryan Station,3-3,4-3,4-2
558499010,Austin Smith,Bullitt East,28-15,27-15,28-14
42690123,Austin Towles,St. Xavier,28-14,29-12,25-14
9777476009,Avery Buckman,Union County,27-3,26-3,27-3
