evidence,date,event,names,rounds,results
STRONG,2019-02-09,KHSAA Region 5,Evan Peters vs Nick Favorite,quarterfinals | 5th place match,Fall 1:59 | Fall 3:26
STRONG,2019-02-02,2019 Kentucky JV State Championships,Zane Drury vs Quintin Hughes,champ. round 1 | champ. round 1,Fall 1:49 | Fall 3:00
STRONG,2018-12-22,Fern Creek Gladiator,Ashton Stone vs Dee Stone,None | round 2,Fall 0:39 | Fall 1:21
STRONG,2019-02-16,KHSAA State Championships,Dylan Preston vs Jake Insko,champ. round 2 | cons. semis,Dec 9-2 | Dec 5-3
STRONG,2018-12-08,King of the Bluegrass,Cooper Philpott vs Travis Roby,champ. round 1 | cons. semis,Fall 4:36 | Fall 3:41
STRONG,2019-01-26,Ft. Knox Invitational,Blaize Cart vs Jevaun Harris,cons. round 3 | None,Fall 2:39 | Fall 1:19
STRONG,2019-02-09,KHSAA Region 8,Isaiah Caudill vs Andrew Vogeler,champ. round 1 | quarterfinals,Fall 1:14 | Fall 1:23
STRONG,2019-02-02,2019 Kentucky JV State Championships,Tyler Rogers vs Carlos Vera,cons. round 2 | cons. round 2,Fall 3:26 | Fall 3:24
STRONG,2019-02-02,2019 Kentucky JV State Championships,Tyler Rogers vs Devin Washington,cons. round 3 | cons. round 3,TF 25-9 3:33 | TF 27-9 3:31
STRONG,2019-02-09,KHSAA Region 8,Tyler Rogers vs Isaac French,champ. round 1 | quarterfinals,Fall 0:28 | Fall 0:55
STRONG,2019-02-09,KHSAA Region 8,Tyler Rogers vs John Jackson,cons. round 2 | cons. round 3,Dec 10-6 | Dec 10-5
STRONG,2019-02-09,KHSAA Region 8,Jarett Sanders vs Gage Kinsel,champ. round 1 | quarterfinals,Fall 0:33 | Fall 0:32
STRONG,2019-02-09,KHSAA Region 8,Jarett Sanders vs Augusto Vidini,semifinals | semifinals,Fall 1:14 | Fall 1:17
STRONG,2019-02-02,2019 Kentucky JV State Championships,Brennan Caron vs Tyler Andrada,champ. round 1 | champ. round 1,Fall 0:24 | Fall 0:23
STRONG,2019-02-02,2019 Kentucky JV State Championships,Brennan Caron vs Grayson Segeleon,1st place match | 1st place match,TF 16-0 2:05 | TF 16-0 2:14
STRONG,2019-02-09,KHSAA Region 8,Brennan Caron vs Ronnie (Blue) Fletcher,semifinals | semifinals,TF 17-0 3:50 | TF 17-0 3:51
STRONG,2019-02-09,KHSAA Region 8,Brennan Caron vs Nicholas Sebastian,cons. semis | cons. semis,Fall 3:35 | Fall 3:50
STRONG,2019-02-09,KHSAA Region 8,Brennan Caron vs Elijah Fields,3rd place match | 3rd place match,Fall 1:14 | Fall 1:41
STRONG,2019-02-02,2019 Kentucky JV State Championships,William Pfister vs Cameron Wilson,cons. round 1 | cons. round 1,Fall 2:11 | Fall 2:04
STRONG,2019-02-09,KHSAA Region 8,Cody Slone vs Cameron Wilson,cons. round 2 | cons. round 1,Fall 2:50 | Fall 2:51
STRONG,2019-02-09,KHSAA Region 8,Cameron Wilson vs Blake Hurley,cons. round 2 | cons. round 3,Fall 0:42 | Fall 0:43
STRONG,2019-02-02,2019 Kentucky JV State Championships,Aiden Paddock vs Dedrian Jones,champ. round 1 | champ. round 1,Fall 2:14 | Fall 2:12
STRONG,2019-02-02,2019 Kentucky JV State Championships,Aiden Paddock vs Brayden Minniard,champ. round 2 | quarterfinals,Fall 4:32 | Fall 3:57
STRONG,2019-02-02,2019 Kentucky JV State Championships,Aiden Paddock vs Cam Bohanan,cons. round 2 | cons. round 2,Fall 3:50 | Fall 3:46
STRONG,2019-02-09,KHSAA Region 8,Gage Hignite vs Chris Ringrose,champ. round 1 | quarterfinals,Fall 1:35 | Fall 1:33
STRONG,2019-02-09,KHSAA Region 8,Gage Hignite vs Brent Hudgins,semifinals | semifinals,Fall 0:42 | Fall 0:45
STRONG,2019-02-02,2019 Kentucky JV State Championships,John Vanetti vs Blake Hester,champ. round 1 | champ. round 1,Fall 3:47 | Fall 4:08
STRONG,2019-02-02,2019 Kentucky JV State Championships,Blake Hester vs Jackson Kash,cons. round 1 | cons. round 1,Fall 2:59 | Fall 1:41
STRONG,2019-02-09,KHSAA Region 8,Blake Hester vs Jackson Holland,champ. round 1 | quarterfinals,Fall 4:57 | Fall 4:58
STRONG,2019-02-09,KHSAA Region 8,Blake Hester vs Blair Nichols,cons. semis | cons. semis,TF 18-3 4:42 | TF 18-3 4:34
STRONG,2019-02-02,2019 Kentucky JV State Championships,Zach Harper vs Quintin Hughes,cons. round 2 | cons. round 2,TF 16-1 3:54 | TF 16-1 4:15
STRONG,2019-02-02,2019 Kentucky JV State Championships,Quintin Hughes vs Jackson Geilear,3rd place match | 3rd place match,Fall 2:12 | Fall 2:08
STRONG,2018-12-29,Agie Skeens,Jack Latherow vs 5152575132,quarterfinals | 5th place match,Fall 3:11 | Fall 4:59
STRONG,2019-02-09,KHSAA Region 8,Jack Latherow vs Nicholas Lyons,champ. round 1 | quarterfinals,Fall 1:57 | Fall 1:56
STRONG,2019-02-09,KHSAA Region 8,Jack Latherow vs Samuel Kelly,semifinals | semifinals,Dec 7-4 | Dec 6-4
STRONG,2019-02-09,KHSAA Region 8,Dillon Donithon vs Ethan Patel,champ. round 1 | 5th place match,Dec 6-0 | Dec 9-5
STRONG,2019-02-09,KHSAA Region 8,Jacob Ratliff vs Ethan Patel,cons. round 3 | cons. round 2,Fall 1:26 | Fall 1:41
STRONG,2019-02-02,2019 Kentucky JV State Championships,John Stone vs LaQuann Williams,champ. round 1 | champ. round 1,Fall 2:22 | Fall 1:58
STRONG,2019-02-09,KHSAA Region 8,John Stone vs Bubba Jackson,semifinals | semifinals,Fall 5:41 | Fall 5:39
STRONG,2019-02-09,KHSAA Region 8,John Stone vs Byron Pierce,1st place match | 1st place match,Fall 3:03 | Fall 3:02
STRONG,2018-12-08,King of the Bluegrass,Shane Gray vs Johnathan Bennem,None | cons. round 2,Fall 0:44 | Fall 0:45
