evidence,date,event,names,rounds,results
STRONG,2013-02-09,KHSAA Region 2,Jake Brown vs Cory Faller,None | None,Fall 0:43 | Fall 1:20
STRONG,2013-01-19,Capital City Classic,Tucker Pridemore vs Donald Moore,None | None,Dec 17-12 | Dec 11-6
STRONG,2013-01-05,CONNER INVATATIONAL WRESTLIG TOURNAMENT,-1 vs Tanner Ward,None | None,Dec 7-5 | Dec 12-9
STRONG,2013-01-05,CONNER INVATATIONAL WRESTLIG TOURNAMENT,-1 vs Ryan Cates,None | None,Fall 1:20 | Fall 1:51
STRONG,2013-01-05,CONNER INVATATIONAL WRESTLIG TOURNAMENT,-1 vs Ryan Duvall,None | None,Fall 1:39 | Fall 1:37
STRONG,2013-02-09,KHSAA Region 8,Jay Layne vs Austin Dobbs,None | None,Dec 8-4 | Dec 7-5
STRONG,2013-02-09,KHSAA Region 8,Cody Bostic vs Charles Ford,None | None,Fall 0:44 | Fall 0:30
STRONG,2013-02-09,KHSAA Region 8,Cameron Hanny vs Blake Dials,None | None,Fall 1:48 | Fall 0:34
STRONG,2012-12-08,Derby City Classic,JD Cross vs James Crawford,None | None,Fall 3:00 | Fall 3:53
STRONG,2013-01-26,Lockland Invitational,Melvin Simms vs 1380184009,None | None,Fall 1:45 | Fall 2:30
STRONG,2013-02-09,KHSAA Region 6,Sam Steele vs Gage Jones,None | None,Dec 10-4 | Dec 4-1
STRONG,2012-11-24,vs. Franklin County,Terrell Roberts vs Dalton Phillips,None | None,Fall 2:26 | Fall 3:34
STRONG,2012-12-29,Woodford County Invitational,Alex Wright vs Marquis Fleet,None | None,Dec 2-0 | Dec 11-8
STRONG,2012-11-24,vs. Franklin County,Joe Elam vs Cain Clark,None | None,MD 18-7 | MD 16-7
STRONG,2012-12-08,King of the Bluegrass,Lucas McCain vs Jared Coffell,None | None,Dec 4-1 | Dec 14-9
STRONG,2013-02-09,Regionals,connor darland vs Charles Saling,None | None,Fall 1:03 | Fall 0:38
STRONG,2013-02-09,KHSAA Region 3,Jared Stewart vs Zack Mitchell,None | None,Fall 2:28 | Fall 3:34
STRONG,2013-02-16,2013 KHSAA State Championships,Chris Gilkey vs Wyatt Overman,None | None,Dec 11-4 | Dec 7-0
STRONG,2012-12-29,Christian Co. Invitational,Donald Bowman vs Ethan Feezor,None | None,Fall 4:55 | Fall 0:43
STRONG,2013-01-12,Steve Johnson Classic,Bryson Elliot vs Jerry Haywood,None | None,Fall 2:54 | Fall 0:44
STRONG,2013-01-12,Steve Johnson Classic,-1 vs Tyler Wilson,None | None,Dec 1-0 | Dec 8-7
STRONG,2013-01-12,Steve Johnson Classic,-1 vs Andrew Lee,None | None,Fall 0:54 | Fall 1:25
STRONG,2012-12-01,Franklin Tournament,-1 vs Brad Krebs,None | None,Fall 4:25 | Fall 2:20
STRONG,2012-12-29,GMVWCA Holiday Torunament,-1 vs Stephen Maggard,None | None,Dec 7-0 | Dec 7-2
STRONG,2012-12-29,GMVWCA Holiday Torunament,-1 vs Bryan Spahr,None | None,Fall 4:01 | Fall 3:33
STRONG,2012-12-01,Franklin Tournament,-1 vs Corbin Woods,None | None,Dec 9-5 | Dec 8-2
STRONG,2013-01-05,Farifield Invitational Tournament,-1 vs Kent Bachman,None | None,Dec 5-1 | Dec 8-2
STRONG,2013-01-05,Farifield Invitational Tournament,-1 vs Brett Keeton,None | None,Fall 2:57 | Fall 4:37
STRONG,2012-12-01,Franklin Tournament,-1 vs Elisiah Matthews,None | None | None,Fall 3:25 | Fall 3:39 | Fall 1:25
STRONG,2013-02-16,2012 KHSAA State Tournament,Elisiah Matthews vs BJ Carman,None | None,Dec 4-3 | Dec 3-1
STRONG,2013-01-04,JCTC,Anthony Hamblin vs Nick Skaggs,None | None,Dec 3-2 | Dec 7-2
STRONG,2012-12-29,Woodford County Invitational,Andrew Lee vs Caleb Barrett,None | None,MD 19-6 | MD 17-5
STRONG,2013-01-19,North Hardin Invitational,Cole Overman vs Robert Reidling,None | None,Dec 7-5 | Dec 11-4
STRONG,2012-12-08,Derby City Classic,Camerin Cole vs Corbin Ryder,None | None,Fall 1:35 | Fall 1:59
STRONG,2013-02-09,KHSAA Region 1,Camerin Cole vs Frank Rosario,None | None,Fall 3:18 | Fall 0:42
STRONG,2012-12-15,Cape Central Tiger Invitational,Dakorian Polley vs 1361089009,None | None,Dec 3-2 | Dec 10-8
STRONG,2013-02-09,KHSAA Region 1,Kenneth Sells vs Chad Gahafer,None | None,Dec 17-12 | Dec 13-6
STRONG,2012-12-29,Toyota of Hopkinsville Christian County Invitational,Tevin Toler vs 1330004009,None | None,Fall 3:51 | Fall 4:05
STRONG,2013-01-21,Battle at the Boarder,Tevin Toler vs 1384605009,None | None,Fall 6:41 | Fall 3:01
STRONG,2012-12-29,Toyota of Hopkinsville Christian County Invitational,Stevie Mason vs Colton Livingston,None | None,Fall 1:43 | Fall 1:09
STRONG,2013-01-26,vs. Harrison County,Tristin Badida vs Cody Dickson,None | None,Fall 0:42 | Fall 0:25
STRONG,2013-01-26,vs. Harrison County,Joseph Warwick vs Colin Coy,None | None,Fall 1:23 | Fall 1:24
STRONG,2013-01-05,CONNER INVITATIONAL WRESTLING TOURNAMENT,-1 vs Braxton Acord,None | None,Dec 10-4 | Dec 6-4
STRONG,2013-01-05,CONNER INVITATIONAL WRESTLING TOURNAMENT,-1 vs Coltyn Keairns,None | None,Fall 1:54 | Fall 0:49
STRONG,2013-01-26,Lockland Invitational,Steven Hamilton vs 1337798009,None | None,Fall 1:59 | Fall 2:23
STRONG,2013-01-26,Lockland Invitational,John Ransdell vs 1477610009,None | None,Fall 2:22 | Fall 4:31
STRONG,2013-02-09,KHSAA Region 2,Carson Coulter vs Jonathon Little,None | None,Dec 11-9 | Dec 6-5
STRONG,2012-12-08,Memorial High Evansville In,Russell Allison vs 1394305009,None | None,Fall 1:30 | Fall 3:19
STRONG,2013-02-09,KHSAA Region 6,Aaron Munoz vs Jake Sander,None | None,Dec 10-7 | Dec 10-4
STRONG,2013-01-26,locklandtournament,-1 vs Austin Jackson,None | None,Fall 1:29 | Fall 1:11
STRONG,2012-12-01,vs. Franklin County,Noah Morgan vs Zach Mans,None | None,Fall 1:40 | Fall 0:30
STRONG,2012-12-01,vs. Franklin County,Luca Guralnik vs Coty Hunt,None | None,Fall 1:10 | Fall 0:45
STRONG,2012-12-01,vs. Franklin County,Jacob Young vs Dalton Phillips,None | None,Fall 1:04 | Fall 1:00
STRONG,2012-12-01,vs. Franklin County,Riley Hawes vs Roderick Agyeman,None | None,TF 18-3 0:30 | TF 18-3 5:00
STRONG,2013-02-09,Regional,Cameron Bryant vs GeoVonnie Bacon,None | None,Fall 4:10 | Fall 1:21
STRONG,2012-12-01,vs. Franklin County,Tanner Foley vs Erik Pina,None | None,Fall 1:35 | Fall 0:30
STRONG,2012-12-01,vs. Franklin County,Brennan Boykin vs Cain Clark,None | None,Fall 1:34 | Fall 1:00
STRONG,2012-12-01,vs. Franklin County,Dhananjay Arora vs Darius Bucerzan,None | None,Fall 0:39 | Fall 1:00
