id,name,team,canon,acc,list
5069658132,AUGUSTUS ROBERTS,Scott County,17-5,16-3,17-5
6036723132,Aaron Gibbs,Central,13-21,14-20,13-21
5162129132,Aaron Hensley,Caldwell County,15-23,16-24,15-23
5144798132,Aaron Williams,Henderson County,4-9,5-9,4-9
5223782132,Abdulmohaiman Alaa,Tates Creek,0-13,0-11,0-13
5143860132,Abel English,Moore,10-23,8-23,8-22
5223711132,Abrahim Hamdan,Tates Creek,16-12,15-12,16-12
4641168132,Adam Nauert,Desales,18-7,16-8,18-7
5177873132,Agali Radjapov,Moore,30-14,26-14,26-13
5144811132,Aiden Harpole,Henderson County,1-1,1-2,1-1
5478694132,Aiden McLaughlin,Owensboro,9-21,9-22,9-21
5478695132,Aiden Neal,Owensboro,3-15,2-15,3-15
5020993132,Aiden Paddock,Ashland Blazer,17-12,14-10,15-10
5487178132,Aiden Roe,Central,28-15,29-15,28-15
5473459132,Aiden Zinser,Scott,12-4,11-4,12-4
5628949132,Alex Beam,Harrison County,3-11,3-10,3-10
5399172132,Alex Bowen,Sheldon Clark,24-17,24-15,24-17
5290086132,Alex Chism-Hopper,Cooper,14-14,12-13,12-13
5722397132,Alex Flickinger,Covington Catholic,1-4,1-5,1-4
5129305132,Alex Hall,South Oldham,17-15,17-15,16-14
5279269132,Alex Horn,Johnson Central,28-4,29-4,28-4
5239859132,Alex Martin,Fern Creek,30-15,30-18,28-15
5143848132,Alex Rivera,Moore,46-10,44-10,44-9
6849557132,Alex Sledd,Harrison County,6-12,6-11,6-12
5128922132,Alexander Frederick,Trinity (Louisville),13-14,11-13,13-13
5670802132,Alexes Rodriguez,Covington Catholic,23-9,25-10,21-9
6041784132,Alkan Karadeniz,Taylor County,4-11,4-8,4-11
5556243132,Allan Friend,Paul Dunbar,24-16,24-15,24-16
5143850132,Allen Anderson,Moore,33-13,29-13,29-13
5237857132,Andre Elam,Union County,1-2,1-3,1-2
5478749132,Andres Quintana,Owensboro,13-28,13-29,13-28
6849555132,Andrew Gaunce,Harrison County,2-3,1-3,1-3
5380788132,Andrew Hendricks,Trigg County,7-10,8-10,7-10
5231384132,Andrew Hobbs,Bullitt Central,21-17,21-16,21-17
5212226132,Andrew Kartner,Woodford County,9-10,9-11,9-10
5224887132,Andrew Pottle,Ohio County,15-5,14-4,14-4
5677163132,Andrew Rutledge,Montgomery County,14-11,14-10,14-11
5136912132,Andrew Stinson,North Bullitt,9-13,9-12,9-13
5399117132,Andrew Vogeler,Sheldon Clark,33-11,32-11,32-11
5304698132,Animesh Bhujel,Henry Clay,2-8,2-7,2-8
5124457132,Anna Hylen,West Jessamine,1-5,1-3,1-5
